Country_Region;Province_State;Start_Date;End_Date;Level;Anotation;
 Serbia;;15/03/2020;21/04/2020;National;National lockdown;
 Singapore;;07/04/2020;01/06/2020;National;National lockdown;
 Slovakia;;16/03/2020;22/04/2020;National;National lockdown;
 South Africa;;26/03/2020;30/04/2020;National;National lockdown;
 Spain;;14/03/2020;09/05/2020;National;National lockdown;
 Switzerland;;17/03/2020;27/04/2020;National;National lockdown;
 Thailand;;25/03/2020;31/05/2020;National;National lockdown;
 Trinidad and Tobago;;17/03/2020;31/03/2020;National;National lockdown;
 Tunisia;;22/03/2020;19/04/2020;National;National lockdown;
 Turkey;;23/04/2020;27/04/2020;National;National lockdown;
 Ukraine;;17/03/2020;24/04/2020;National;National lockdown;
 United Arab Emirates;;26/03/2020;17/04/2020;National;National lockdown;
 United Kingdom;;23/03/2020;17/04/2020;National;National lockdown;
 United States;California;19/03/2020;17/04/2020;State;State lockdown in California ;
 United States;Clark County, NV;20/03/2020;17/04/2020;Region;Region lockdown in Clark County, NV ;
 United States;Connecticut;23/03/2020;22/04/2020;State;State lockdown in Connecticut ;
 United States;Illinois;21/03/2020;30/05/2020;State;State lockdown in Illinois ;
 United States;Kansas City, KS;24/03/2020;19/04/2020;City;City lockdown in Kansas City, KS ;
 United States;Massachusetts;24/03/2020;04/05/2020;State;State lockdown in Massachusetts ;
 United States;Michigan;24/03/2020;13/04/2020;State;State lockdown in Michigan ;
 United States;New York;20/03/2020;13/06/2020;State;State lockdown in New York ;
 United States;Oregon;24/03/2020;13/06/2020;State;State lockdown in Oregon ;
 United States;Wisconsin;24/03/2020;13/06/2020;State;State lockdown in Wisconsin ;
 Venezuela;;17/03/2020;13/05/2020;National;National lockdown;
 Zimbabwe;;30/03/2020;02/05/2020;National;National lockdown;
